blockLot,fullAddress,neighborhood,councilDistrict,policeDistrict,noticeDate,Lat,Lon
0020 086,1532 MCKEAN AVE,SANDTOWN-WINCHESTER,7,WESTERN,1/31/08,39.30585351,-76.64734495
1774 002,2003 BANK ST,UPPER FELLS POINT,1,SOUTHEASTERN,12/31/13,39.28660002,-76.58864243
0204 024,2227 W BALTIMORE ST,BOYD-BOOTH,9,SOUTHWESTERN,8/17/07,39.28772987,-76.65225039
7419C010,2025 ANNAPOLIS ROAD,WESTPORT,10,SOUTHERN,10/22/10,39.2663839,-76.63158564
0272 073,300 S PULASKI ST,CARROLLTON RIDGE,9,SOUTHWESTERN,11/29/13,39.28379717,-76.6500627
0695 025,554 S BENTALOU ST,CARROLLTON RIDGE,9,SOUTHWESTERN,4/17/07,39.28052442,-76.65228534
1099A050,1827 AISQUITH ST,OLIVER,12,EASTERN,7/25/11,39.31112629,-76.60235129
0112 011,620 N CAREY ST,HARLEM PARK,9,WESTERN,3/25/09,39.29605027,-76.63885595
1131 011,1020 E HOFFMAN ST,OLIVER,12,EASTERN,4/8/09,39.30626641,-76.60322173
0190 087,2120 W FAIRMOUNT AVE,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,3/26/15,39.28884738,-76.6507942
0160 001,2101 W SARATOGA ST,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,1/13/12,39.29165792,-76.65040794
3826 044,2456 BRENTWOOD AVE,BARCLAY,12,EASTERN,9/7/12,39.31737804,-76.61065759
2472 016,2915 W LANVALE ST,FRANKLINTOWN ROAD,9,SOUTHWESTERN,7/25/05,39.29692471,-76.66586159
0008 044,1704 MCKEAN AVE,SANDTOWN-WINCHESTER,7,WESTERN,11/11/04,39.30806035,-76.64747037
3454 008,2311 CALLOW AVE,RESERVOIR HILL,7,CENTRAL,11/13/06,39.31399304,-76.63106366
0049 007,1112 N MONROE ST,MIDTOWN-EDMONDSON,9,WESTERN,4/23/10,39.30123026,-76.64791169
7887 001,2121 WICOMICO ST,SAINT PAUL,10,SOUTHERN,6/12/15,39.26863315,-76.64133564
1503 008,1415 N PATTERSON PARK AVE,BROADWAY EAST,13,EASTERN,9/18/07,39.3071624,-76.58538335
1673 024,451 N MILTON AVE,MCELDERRY PARK,13,SOUTHEASTERN,10/24/12,39.29663604,-76.58190072
2377C028,607 N DUKELAND ST,MOSHER,9,WESTERN,12/10/14,39.29501825,-76.66277111
0147 063,306 N MONROE ST,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,4/30/15,39.29220831,-76.64741207
7447 009,2322 ANNAPOLIS ROAD,WESTPORT,10,SOUTHERN,9/25/13,39.26251166,-76.63461923
0303 018,515 BAKER ST,DRUID HEIGHTS,7,CENTRAL,12/2/09,39.30925265,-76.63879008
1102 006,1831 N BOND ST,OLIVER,12,EASTERN,6/18/14,39.31132191,-76.59674464
1572 002,2403 E CHASE ST,BIDDLE STREET,13,EASTERN,6/8/11,39.30345994,-76.58381063
3232A003,2905 PARKWOOD AVE,PARKVIEW/WOODBROOK,7,WESTERN,1/5/06,39.31603285,-76.64672228
0050 090,1810 RIGGS AVE,SANDTOWN-WINCHESTER,9,WESTERN,9/21/06,39.30113038,-76.64675006
7478 010,2620 PUGET ST,MOUNT WINANS,10,SOUTHERN,9/25/08,39.26054778,-76.64475859
0175 074,2143 VINE ST,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,10/11/13,39.28972726,-76.65120296
8221 007,4210 BELVIEU AVE,WEST ARLINGTON,6,NORTHWESTERN,4/24/15,39.34000466,-76.69118853
4429C006,5504 JONQUIL AVE,ARLINGTON,5,NORTHWESTERN,2/20/15,39.35038696,-76.68747635
4011A015,2027 ROBB ST,EAST BALTIMORE MIDWAY,12,EASTERN,7/5/12,39.31359197,-76.60267486
0064 004,1306 MOSHER ST,SANDTOWN-WINCHESTER,9,WESTERN,11/1/12,39.30030211,-76.63905644
2178 051,2600 FREDERICK AVE,SHIPLEY HILL,9,SOUTHWESTERN,7/18/14,39.28261626,-76.6574733
3005 003,2810 W NORTH AVE,WALBROOK,7,SOUTHWESTERN,4/15/15,39.30945566,-76.66428954
0118 106,528 N BRICE ST,MIDTOWN-EDMONDSON,9,WESTERN,12/11/06,39.29452143,-76.6499135
7615 014,448 ROUNDVIEW ROAD,CHERRY HILL,10,SOUTHERN,7/18/14,39.24980143,-76.62033607
6002 003,4206 WILLSHIRE AVE,FRANKFORD,2,NORTHEASTERN,9/23/15,39.33904299,-76.54863779
3826 014,2427 BARCLAY ST,BARCLAY,12,EASTERN,9/19/08,39.31689003,-76.61101096
0072 057,1804 W LAFAYETTE AVE,SANDTOWN-WINCHESTER,9,WESTERN,3/9/12,39.29897093,-76.64657639
0032 011,1322 N MOUNT ST,SANDTOWN-WINCHESTER,7,WESTERN,8/7/15,39.30374529,-76.64493771
1483 006,2222 E OLIVER ST,BROADWAY EAST,13,EASTERN,11/14/11,39.30799765,-76.58664998
0102 008,714 N CARROLLTON AVE,HARLEM PARK,9,WESTERN,11/6/07,39.29719429,-76.6375538
2306A007,1712 MORELAND AVE,COPPIN HEIGHTS/ASH-CO-EAST,7,WESTERN,10/29/13,39.30790841,-76.65610192
1494 042,1747 E OLIVER ST,BROADWAY EAST,12,EASTERN,5/8/09,39.30735699,-76.59283838
1466 077,1702 E FEDERAL ST,BROADWAY EAST,12,EASTERN,11/28/12,39.30874915,-76.59425125
3212 091,2102 RIDGEHILL AVE,MONDAWMIN,7,WESTERN,11/27/13,39.31140522,-76.65187191
2718 030,4037 BOARMAN AVE,DORCHESTER,6,NORTHWESTERN,12/13/07,39.33383627,-76.68683118
6262 014,4310 E LOMBARD ST,KRESSON,2,SOUTHEASTERN,7/31/15,39.29186326,-76.5605317
3937 032,2735 FENWICK AVE,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,7/24/15,39.32329508,-76.59010364
2218 040,2858 W MULBERRY ST,PENROSE/FAYETTE STREET OUTREACH,9,SOUTHWESTERN,4/4/14,39.29276859,-76.66407382
4179K158,3810 LYNDALE AVE,BELAIR-EDISON,13,NORTHEASTERN,5/6/11,39.31720641,-76.56514588
1504 032B,2430 E HOFFMAN ST,BROADWAY EAST,13,EASTERN,8/8/08,39.30705022,-76.58334155
5214A018,4754 ALHAMBRA AVE,RICHNOR SPRINGS,4,NORTHERN,7/24/15,39.34637376,-76.6071786
1519 014,2326 E PRESTON ST,BROADWAY EAST,13,EASTERN,7/18/14,39.30594719,-76.58436252
2295 050,537 WILDWOOD PKWY,ALLENDALE,8,SOUTHWESTERN,1/30/14,39.29354386,-76.68364204
2706 011,4110 RIDGEWOOD AVE,WEST ARLINGTON,6,NORTHWESTERN,3/28/06,39.33692174,-76.68861609
1446 038,1832 RUTLAND AVE,BROADWAY EAST,12,EASTERN,7/17/14,39.31163832,-76.59336234
1494 033,1729 E OLIVER ST,BROADWAY EAST,12,EASTERN,6/14/07,39.30733932,-76.59330618
0112 010,618 N CAREY ST,HARLEM PARK,9,WESTERN,3/25/09,39.29600441,-76.63885334
3210 040,1943 RIDGEHILL AVE,MONDAWMIN,7,WESTERN,7/20/07,39.3112334,-76.6494011
0026 099,1803 PRESSTMAN ST,SANDTOWN-WINCHESTER,7,WESTERN,7/2/15,39.30508456,-76.64671259
1650 008,515 N WASHINGTON ST,CARE,13,EASTERN,3/15/12,39.29682176,-76.58920089
2377C026,603 N DUKELAND ST,MOSHER,9,WESTERN,12/20/06,39.29494354,-76.66276725
4510 016,5350 REISTERSTOWN ROAD,WOODMERE,5,NORTHWESTERN,9/25/15,39.34574626,-76.68796089
0117 013,524 N PULASKI ST,MIDTOWN-EDMONDSON,9,WESTERN,8/11/10,39.29425718,-76.65065981
1449 128,1813 N WASHINGTON ST,BROADWAY EAST,12,EASTERN,3/19/08,39.31142224,-76.59006483
3196 006,4612 REISTERSTOWN ROAD,LUCILLE PARK,6,NORTHWESTERN,11/3/08,39.34022462,-76.6719329
4171 020,2238 E NORTH AVE,SOUTH CLIFTON PARK,12,EASTERN,2/22/08,39.31275545,-76.586375
5183C015,4919 MIDWOOD AVE,KENILWORTH PARK,4,NORTHERN,7/2/15,39.34827022,-76.60351184
0266A019,1222 JAMES ST,WASHINGTON VILLAGE/PIGTOWN,10,SOUTHERN,4/16/12,39.28209558,-76.63577749
0075 015,1517 MOSHER ST,SANDTOWN-WINCHESTER,9,WESTERN,1/25/13,39.29977059,-76.64250592
0112 004,606 N CAREY ST,HARLEM PARK,9,WESTERN,3/25/09,39.2957194,-76.63879687
1627 017,733 N LAKEWOOD AVE,MADISON-EASTEND,13,EASTERN,2/21/13,39.29966537,-76.57927397
2170A034,2566 W FAIRMOUNT AVE,SHIPLEY HILL,9,SOUTHWESTERN,4/2/08,39.28845563,-76.65830786
2381 002,2700 RAYNER AVE,MOSHER,9,WESTERN,5/13/09,39.29681736,-76.66231266
0175 035,2134 VINE ST,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,11/3/11,39.29002555,-76.65104977
4007 031,1923 HOPE ST,EAST BALTIMORE MIDWAY,12,EASTERN,1/17/08,39.31271668,-76.60146729
0129 110,918 BENNETT PL,HARLEM PARK,9,WESTERN,12/19/14,39.29516588,-76.63290883
3196 014,4628 REISTERSTOWN ROAD,LUCILLE PARK,6,NORTHWESTERN,12/23/10,39.34036373,-76.67244558
4595 030,3701 ARCADIA AVE,LANGSTON HUGHES,6,NORTHWESTERN,6/13/07,39.34344363,-76.67785759
4154 041,2801 LAKE AVE,BELAIR-EDISON,13,NORTHEASTERN,7/17/15,39.32379535,-76.57422731
4606 040,4710 WILERN AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,11/7/07,39.34442101,-76.67352276
0115 008,1015 HARLEM AVE,HARLEM PARK,9,WESTERN,10/24/14,39.29660532,-76.63478017
1455 046,1737 N MILTON AVE,BEREA,13,EASTERN,11/9/06,39.31081732,-76.58259255
2307A019,2437 W NORTH AVE,COPPIN HEIGHTS/ASH-CO-EAST,7,WESTERN,3/22/11,39.30918947,-76.65702099
3004 013,2928 W NORTH AVE,WALBROOK,7,SOUTHWESTERN,3/29/08,39.30937099,-76.66663735
3538 021,909 W 37TH ST,HAMPDEN,14,NORTHERN,8/21/15,39.33254018,-76.63213053
0390 011,101 E NORTH AVE,GREENMOUNT WEST,12,CENTRAL,10/2/15,39.3107145,-76.61464119
1569 009,2117 E CHASE ST,MIDDLE EAST,13,EASTERN,5/14/10,39.30331429,-76.58761667
0348 010,1618 DRUID HILL AVE,UPTON,11,CENTRAL,4/23/14,39.30459959,-76.63221029
0003 028,1827 W NORTH AVE,SANDTOWN-WINCHESTER,7,WESTERN,4/8/11,39.30958463,-76.64733631
4123 039,1704 HOMESTEAD ST,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,3/3/08,39.32046016,-76.59447991
1686 006,2037 ORLEANS ST,CARE,13,SOUTHEASTERN,5/12/06,39.29518794,-76.58812371
1521 003,2504 E PRESTON ST,BEREA,13,EASTERN,7/1/10,39.30603159,-76.58249243
3307B003,4305 PARK HEIGHTS AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,9/15/05,39.33872495,-76.66526646
1135 033,1415 N CENTRAL AVE,OLIVER,12,EASTERN,5/5/08,39.30660415,-76.60032286
0397 012A,1313 DRUID HILL AVE,UPTON,11,CENTRAL,4/12/06,39.30244709,-76.62872582
0260 117,1800 DOVER ST,CARROLLTON RIDGE,9,SOUTHERN,11/8/05,39.28486136,-76.64539917
4552 083,5206 DENMORE AVE,ARLINGTON,5,NORTHWESTERN,12/13/10,39.34861558,-76.67835461
0162 122,202 N MONROE ST,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,2/19/15,39.29070325,-76.64733106
1660 056,518 N CURLEY ST,ELLWOOD PARK/MONUMENT,13,SOUTHEASTERN,9/29/15,39.29738064,-76.57601211
4527 032,5325 DENMORE AVE,ARLINGTON,5,NORTHWESTERN,10/19/11,39.34981351,-76.68121726
3013 003,2005 N LONGWOOD ST,WALBROOK,7,SOUTHWESTERN,8/24/06,39.31037339,-76.66734335
7105 047,3829 8TH ST,BROOKLYN,10,SOUTHERN,8/11/15,39.23266761,-76.60075485
0215 043,1300 HOLLINS ST,UNION SQUARE,9,SOUTHERN,4/15/08,39.28777566,-76.63824599
2275B009,18 N HILTON ST,SAINT JOSEPHS,8,SOUTHWESTERN,8/27/10,39.28686353,-76.67264229
3826 055,2434 BRENTWOOD AVE,BARCLAY,12,EASTERN,4/2/15,39.31696512,-76.61065559
2532 049,4013 WALRAD ST,IRVINGTON,8,SOUTHWESTERN,12/13/13,39.27961334,-76.68328394
0801 045,1163 NANTICOKE ST,WASHINGTON VILLAGE/PIGTOWN,10,SOUTHERN,6/26/14,39.28012971,-76.63139713
1553 053,2215 E BIDDLE ST,MIDDLE EAST,13,EASTERN,6/16/10,39.30441762,-76.58651926
2404 019,2703 PRESBURY ST,COPPIN HEIGHTS/ASH-CO-EAST,7,WESTERN,8/9/12,39.3071935,-76.66111041
1459 046,1735 N CASTLE ST,BROADWAY EAST,12,EASTERN,9/16/10,39.31043231,-76.58910448
0031 048,1317 N MONROE ST,SANDTOWN-WINCHESTER,7,WESTERN,1/23/15,39.30373987,-76.64758876
0055D047,1121 N CARROLLTON AVE,SANDTOWN-WINCHESTER,9,WESTERN,7/19/06,39.30170331,-76.63719044
3001 006,1905 BLOOMINGDALE ROAD,WALBROOK,7,SOUTHWESTERN,10/18/13,39.30934332,-76.6711935
1570 004,2207 E CHASE ST,MIDDLE EAST,13,EASTERN,4/29/10,39.30333778,-76.58665341
1457 005,1709 RUTLAND AVE,BROADWAY EAST,12,EASTERN,4/17/08,39.30994468,-76.59266714
1152 027,1202 BRENTWOOD AVE,JOHNSTON SQUARE,12,EASTERN,3/17/11,39.30408149,-76.60950917
2380 023,2852 RAYNER AVE,MOSHER,9,WESTERN,4/29/10,39.29652307,-76.66413554
1517 095,2027 ELLSWORTH ST,BROADWAY EAST,13,EASTERN,7/30/07,39.30597148,-76.58906856
4544D025,3700 W BELVEDERE AVE,ARLINGTON,5,NORTHWESTERN,3/14/05,39.34642341,-76.68056355
1433 046,1427 BANK ST,FELLS POINT,1,SOUTHEASTERN,5/4/12,39.28621455,-76.59742738
2846 019,3604 DUVALL AVE,GARWYN OAKS,6,NORTHWESTERN,10/17/14,39.32040511,-76.67898374
7841J016,2030 WHISTLER AVE,MORRELL PARK,10,SOUTHWESTERN,6/27/14,39.2648756,-76.65105712
0110 043,1626 EDMONDSON AVE,HARLEM PARK,9,WESTERN,11/8/06,39.29547338,-76.64402114
1227 032,824 N BOND ST,GAY STREET,12,EASTERN,6/22/07,39.30008658,-76.59656061
7441A021,2240 CEDLEY ST,WESTPORT,10,SOUTHERN,6/2/13,39.26305035,-76.63231556
1547 009,1109 N BROADWAY,MIDDLE EAST,12,EASTERN,8/3/15,39.30353578,-76.59418342
0246 055,1519 LEMMON ST,UNION SQUARE,9,SOUTHERN,12/27/12,39.28575836,-76.64161856
0244 058,1709 LEMMON ST,UNION SQUARE,9,SOUTHERN,2/27/14,39.28563942,-76.64420146
0340 018,1732 MCCULLOH ST,UPTON,11,CENTRAL,3/13/14,39.30616827,-76.63270584
1477 108,1719 CRYSTAL AVE,BROADWAY EAST,12,EASTERN,2/27/06,39.30794453,-76.59317981
0200 043,1087 W FAYETTE ST,POPPLETON,9,WESTERN,10/6/11,39.28957041,-76.63631869
2744A003,4105 NORFOLK AVE,WEST FOREST PARK,6,NORTHWESTERN,6/24/15,39.32336121,-76.6867949
2406 091,1820 N DUKELAND ST,NORTHWEST COMMUNITY ACTION,7,SOUTHWESTERN,3/3/09,39.30857885,-76.66401905
2377C063,2705 HARLEM AVE,MOSHER,9,WESTERN,8/17/10,39.29538487,-76.66167721
6330 018,412 OLDHAM ST,GREEKTOWN,1,SOUTHEASTERN,9/10/12,39.28773376,-76.55608813
0261 016,1737 W PRATT ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,8/23/07,39.2850711,-76.64486955
0699 096,1903 CHRISTIAN ST,CARROLLTON RIDGE,9,SOUTHERN,2/8/15,39.28247516,-76.64704442
0121 003,516 N MOUNT ST,HARLEM PARK,9,WESTERN,2/17/12,39.29434807,-76.64437065
0108 011,620 N FULTON AVE,HARLEM PARK,9,WESTERN,1/31/14,39.29574044,-76.64590375
1621 011,721 N CHESTER ST,MIDDLE EAST,13,EASTERN,11/9/06,39.29913246,-76.58762938
1553 056,2209 E BIDDLE ST,MIDDLE EAST,13,EASTERN,6/13/07,39.3044117,-76.58666681
1535 036,2249 E PRESTON ST,BROADWAY EAST,13,EASTERN,4/29/11,39.30551722,-76.585747
3533 112,813 POWERS ST,HAMPDEN,14,NORTHERN,8/6/13,39.32908325,-76.63003195
1556 028,2515 E BIDDLE ST,BIDDLE STREET,13,EASTERN,8/6/10,39.30458684,-76.58203968
1653 036,2247 MCELDERRY ST,CARE,13,EASTERN,4/8/08,39.29741294,-76.58534327
1517 050,2007 E HOFFMAN ST,BROADWAY EAST,13,EASTERN,9/10/10,39.30642198,-76.5897907
1611 059,824 N BELNORD AVE,MADISON-EASTEND,13,EASTERN,11/20/14,39.30075037,-76.5790649
4029 008,2224 HARFORD ROAD,EAST BALTIMORE MIDWAY,12,EASTERN,7/30/10,39.3157149,-76.59689195
4544D004,5207 SAINT CHARLES AVE,ARLINGTON,5,NORTHWESTERN,3/26/07,39.34474784,-76.68281022
2975 073,3958 PENHURST AVE,DOLFIELD,6,NORTHWESTERN,8/22/14,39.33893986,-76.68420683
0698 046,435 S PULASKI ST,CARROLLTON RIDGE,9,SOUTHERN,12/28/11,39.28168974,-76.64913954
6484 031,1207 S HIGHLAND AVE,CANTON,1,SOUTHEASTERN,3/25/15,39.27894165,-76.56806211
3937 064,2736 HUGO AVE,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,9/25/15,39.32368863,-76.58967174
0089 059,808 N CAREY ST,HARLEM PARK,9,WESTERN,8/31/07,39.29813353,-76.63892739
2175 041,29 S FRANKLINTOWN ROAD,SHIPLEY HILL,9,SOUTHWESTERN,11/16/07,39.28625751,-76.658183
7441 026,2220 CEDLEY ST,WESTPORT,10,SOUTHERN,11/27/13,39.26351389,-76.63203304
8293 007,5114 BELLEVILLE AVE,HOWARD PARK,8,NORTHWESTERN,8/1/14,39.33252218,-76.70241902
1477 110,1716 CRYSTAL AVE,BROADWAY EAST,12,EASTERN,8/23/06,39.30818765,-76.59323806
4583 004H,5021 DENMORE AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,9/4/07,39.34740315,-76.67526687
5182 023,4909 IVANHOE AVE,WINSTON-GOVANS,4,NORTHERN,4/12/13,39.34820562,-76.6044524
2253 040,49 S CULVER ST,SAINT JOSEPHS,8,SOUTHWESTERN,4/22/15,39.28514681,-76.67793525
2165 024,13 N CATHERINE ST,SHIPLEY HILL,9,SOUTHWESTERN,2/22/07,39.28832219,-76.65628
0222 051,2122 BOYD ST,BOYD-BOOTH,9,SOUTHWESTERN,10/10/06,39.28658196,-76.65081967
1568 103,1013 N CASTLE ST,MIDDLE EAST,13,EASTERN,11/30/12,39.30265227,-76.58875488
3446 060,2215 CALLOW AVE,RESERVOIR HILL,7,CENTRAL,3/18/15,39.3131761,-76.63102826
4039 031,515 E 23RD ST,EAST BALTIMORE MIDWAY,12,EASTERN,10/2/14,39.31525081,-76.60900123
0265 098,1304 KUPER ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,9/21/11,39.28513418,-76.63879519
4129 001A,1602 GORSUCH AVE,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,11/13/07,39.32186928,-76.59532661
4626A001,3100 SUMTER AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,9/12/11,39.34240185,-76.66720198
2109 048,2408 WILKENS AVE,MILLHILL,9,SOUTHWESTERN,11/27/13,39.27987797,-76.65394015
0415 018,1234 DRUID HILL AVE,UPTON,11,CENTRAL,6/17/14,39.30175912,-76.62864197
1454 047,1837 N MONTFORD AVE,BROADWAY EAST,13,EASTERN,3/18/08,39.31194709,-76.58428735
5147 001,5507 CRAIG AVE,MID-GOVANS,4,NORTHERN,1/11/13,39.35732842,-76.60581562
0059 022,1807 RIGGS AVE,SANDTOWN-WINCHESTER,9,WESTERN,5/17/00,39.30073364,-76.6466251
4603 011,3511 OAKMONT AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,8/20/09,39.34514526,-76.67607897
7644 083,922 BRIDGEVIEW ROAD,CHERRY HILL,10,SOUTHERN,10/24/14,39.24646944,-76.62603642
1568 086,1036 N CASTLE ST,MIDDLE EAST,13,EASTERN,8/24/12,39.30302263,-76.58922334
2442 048,3248 NORMOUNT AVE,ROSEMONT,9,SOUTHWESTERN,10/26/14,39.30166603,-76.67186904
0199 001,1 N CAREY ST,POPPLETON,9,WESTERN,12/16/08,39.28872419,-76.63781731
0273 062,2021 MCHENRY ST,CARROLLTON RIDGE,9,SOUTHERN,6/28/11,39.28396108,-76.64929937
0768 028,1254 WASHINGTON BLVD,WASHINGTON VILLAGE/PIGTOWN,10,SOUTHERN,3/10/14,39.28112354,-76.63511106
0122 063,1618 W FRANKLIN ST,HARLEM PARK,9,WESTERN,1/23/06,39.29416744,-76.64355233
0801 046,1161 NANTICOKE ST,WASHINGTON VILLAGE/PIGTOWN,10,SOUTHERN,1/28/10,39.28016113,-76.63137514
1102 056,1647 E NORTH AVE,OLIVER,12,EASTERN,7/18/11,39.3117967,-76.59553243
0348 035,1619 DIVISION ST,UPTON,11,CENTRAL,1/10/08,39.30404757,-76.63280035
1494 019,1435 N BROADWAY,BROADWAY EAST,12,EASTERN,10/5/06,39.30737642,-76.59447214
2439 005,3108 PRESBURY ST,ROSEMONT,7,SOUTHWESTERN,4/16/13,39.30733978,-76.66961511
1102 061,1637 E NORTH AVE,OLIVER,12,EASTERN,8/16/05,39.31178421,-76.59580763
3327A014,3627 PARK HEIGHTS AVE,PARK CIRCLE,6,NORTHWESTERN,2/21/12,39.33019434,-76.65898487
0004 020,1731 W NORTH AVE,SANDTOWN-WINCHESTER,7,WESTERN,9/20/13,39.30966642,-76.64594607
0050 089,1812 RIGGS AVE,SANDTOWN-WINCHESTER,9,WESTERN,2/20/08,39.30112283,-76.6469733
2411 021B,2923 WESTWOOD AVE,NORTHWEST COMMUNITY ACTION,7,SOUTHWESTERN,10/12/12,39.3079118,-76.66673299
3211 090,2010 RIDGEHILL AVE,MONDAWMIN,7,WESTERN,3/8/12,39.31144778,-76.65063756
1451 040,1859 N COLLINGTON AVE,BROADWAY EAST,12,EASTERN,11/19/07,39.31203802,-76.58722975
3234 015N,2329 BRYANT AVE,PARKVIEW/WOODBROOK,7,WESTERN,12/2/08,39.31728033,-76.647658
2404 054,1641 ASHBURTON ST,COPPIN HEIGHTS/ASH-CO-EAST,7,WESTERN,12/4/09,39.30701464,-76.66176271
1446 082,1804 N REGESTER ST,BROADWAY EAST,12,EASTERN,3/1/13,39.31108321,-76.59433717
4616 106,4802 PALMER AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,3/29/08,39.34617178,-76.67104325
2377A061,2862 HARLEM AVE,MOSHER,9,WESTERN,10/2/15,39.29564983,-76.6646026
2176 046,105 S FRANKLINTOWN ROAD,SHIPLEY HILL,9,SOUTHWESTERN,1/15/09,39.28511348,-76.65782406
0107 047,609 N PAYSON ST,MIDTOWN-EDMONDSON,9,WESTERN,10/29/07,39.29563187,-76.64880838
1118 054,1610 N BROADWAY,OLIVER,12,EASTERN,2/13/15,39.30883701,-76.59528928
3408 030,2544 FRANCIS ST,PENN NORTH,7,WESTERN,4/1/11,39.31341043,-76.64311457
3913B023,3956 WILSBY AVE,PEN LUCY,4,NORTHERN,4/17/14,39.33789072,-76.60475089
2175 045,2556 W LOMBARD ST,SHIPLEY HILL,9,SOUTHWESTERN,10/14/14,39.28588869,-76.65813775
1503 024,2307 E OLIVER ST,BROADWAY EAST,13,EASTERN,10/10/07,39.30766534,-76.58508721
0058 005,1908 MOSHER ST,MIDTOWN-EDMONDSON,9,WESTERN,6/4/15,39.30000663,-76.64792342
0065 002,1202 MOSHER ST,SANDTOWN-WINCHESTER,9,WESTERN,9/23/08,39.30034392,-76.63777884
0109 033,637 N FULTON AVE,HARLEM PARK,9,WESTERN,10/30/14,39.29607706,-76.64530112
2206A006,2557 EDMONDSON AVE,ROSEMONT HOMEOWNERS/TENANTS,9,WESTERN,2/7/14,39.29438539,-76.65827022
0124 058,1412 W FRANKLIN ST,HARLEM PARK,9,WESTERN,4/10/15,39.29427426,-76.64066627
2406 097,2808 PRESBURY ST,NORTHWEST COMMUNITY ACTION,7,SOUTHWESTERN,7/11/11,39.30747368,-76.66434819
2174A017,2420 FREDERICK AVE,SHIPLEY HILL,9,SOUTHWESTERN,5/21/08,39.28409498,-76.65523307
1553 073,2205 HENNEMAN AVE,MIDDLE EAST,13,EASTERN,4/25/08,39.30393867,-76.58649654
6154 022,607 N CLINTON ST,ELLWOOD PARK/MONUMENT,13,SOUTHEASTERN,3/29/15,39.29864427,-76.57051459
4.18E+68,3216 ELMLEY AVE,BELAIR-EDISON,13,NORTHEASTERN,5/14/10,39.31718866,-76.57772414
0096 031,1813 W LANVALE ST,HARLEM PARK,9,WESTERN,1/27/10,39.29738413,-76.64662852
7225 038,1609 LOCUST ST,CURTIS BAY,10,SOUTHERN,7/10/14,39.22661782,-76.58824356
6019 029,5722 NEWHOLME AVE,FRANKFORD,2,NORTHEASTERN,6/5/15,39.33840996,-76.53739635
6276 102,4 S HIGHLAND AVE,PATTERSON PARK NEIGHBORHOOD,1,SOUTHEASTERN,2/26/15,39.29207603,-76.56965988
0262 034,1630 MCHENRY ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,10/28/11,39.28453838,-76.64327292
1590 054,910 N MONTFORD AVE,MILTON-MONTFORD,13,EASTERN,1/16/14,39.30119341,-76.58410642
1661 016,3031 MCELDERRY ST,ELLWOOD PARK/MONUMENT,13,SOUTHEASTERN,11/8/07,39.2978713,-76.5740506
3020 002,3208 CLIFTON AVE,WALBROOK,7,SOUTHWESTERN,7/24/14,39.31139477,-76.67182438
2137 036,538 BRUNSWICK ST,MILLHILL,10,SOUTHWESTERN,7/1/15,39.27841454,-76.6591411
0082 070,800 N BRICE ST,MIDTOWN-EDMONDSON,9,WESTERN,9/28/06,39.29782735,-76.65011476
0314 023,505 BLOOM ST,DRUID HEIGHTS,11,CENTRAL,2/21/08,39.30782687,-76.63653824
0563 006,411 N HOWARD ST,DOWNTOWN,11,CENTRAL,1/25/06,39.29434434,-76.61931321
3307 062,2658 OSWEGO AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,1/25/08,39.33615911,-76.66278589
2132 009,2819 FREDERICK AVE,GWYNNS FALLS,10,SOUTHWESTERN,7/3/07,39.27949903,-76.66317402
2206B059,2517 LAURETTA AVE,ROSEMONT HOMEOWNERS/TENANTS,9,WESTERN,4/11/12,39.29383263,-76.65683218
2535 016,318 S AUGUSTA AVE,IRVINGTON,8,SOUTHWESTERN,8/25/14,39.28063716,-76.6848483
1606 062,2216 E MADISON ST,MIDDLE EAST,13,EASTERN,9/2/11,39.29993752,-76.58619876
2501 051,802 N HILTON ST,EDGEWOOD,8,SOUTHWESTERN,8/10/12,39.29624372,-76.67314472
5911 019,3010 BRENDAN AVE,BELAIR-EDISON,13,NORTHEASTERN,4/10/12,39.32323213,-76.57070621
5183 036,746 E COLD SPRING LANE,RICHNOR SPRINGS,4,NORTHERN,5/20/13,39.34600229,-76.60501611
0107 012,622 N MONROE ST,MIDTOWN-EDMONDSON,9,WESTERN,3/6/12,39.29596192,-76.64762339
