blockLot,fullAddress,neighborhood,councilDistrict,policeDistrict,noticeDate,Lat,Lon
2323 056,1652 N SMALLWOOD ST,COPPIN HEIGHTS/ASH-CO-EAST,7,WESTERN,4/7/09,39.3075399,-76.65285079
1476A008,2518 E FEDERAL ST,BEREA,13,EASTERN,5/7/04,39.30924188,-76.5818716
0250 008,1114 W PRATT ST,HOLLINS MARKET,9,SOUTHERN,10/17/14,39.28590167,-76.63556768
0338 029,563 LAURENS ST,UPTON,11,CENTRAL,6/9/09,39.30467782,-76.63473863
7805A011,2324 WASHINGTON BLVD,MORRELL PARK,10,SOUTHWESTERN,9/24/10,39.26932009,-76.64983363
1168 015,621 E BIDDLE ST,JOHNSTON SQUARE,12,EASTERN,12/16/10,39.30361215,-76.60817545
0125 021,540 N CAREY ST,HARLEM PARK,9,WESTERN,10/1/13,39.29523278,-76.63879759
1609 079,822 N ROSE ST,MILTON-MONTFORD,13,EASTERN,3/19/08,39.30065082,-76.58188868
0314 068,2018 ETTING ST,DRUID HEIGHTS,11,CENTRAL,5/30/12,39.30733942,-76.63646208
0328 058,1807 DIVISION ST,DRUID HEIGHTS,11,CENTRAL,1/28/12,39.30546895,-76.63456216
1543 062,1239 N DECKER AVE,BEREA,13,EASTERN,12/15/10,39.30597515,-76.57476743
0696 086,2216 CHRISTIAN ST,CARROLLTON RIDGE,9,SOUTHWESTERN,11/3/05,39.28123216,-76.65163504
0271 001,300 S SMALLWOOD ST,CARROLLTON RIDGE,9,SOUTHWESTERN,4/20/13,39.28395336,-76.65147012
1556 027,2513 E BIDDLE ST,BIDDLE STREET,13,EASTERN,12/27/07,39.30458447,-76.5820878
2197 038,329 S ELLAMONT ST,CARROLL-SOUTH HILTON,9,SOUTHWESTERN,1/29/07,39.28190633,-76.66969068
0149 050,322 N BRUCE ST,FRANKLIN SQUARE,9,WESTERN,3/8/07,39.29256549,-76.64486353
0112 045,625 N CALHOUN ST,HARLEM PARK,9,WESTERN,5/11/09,39.29614072,-76.63968074
4179M009,3816 ERDMAN AVE,BELAIR-EDISON,13,NORTHEASTERN,4/2/15,39.31526493,-76.5682678
1127 048,1522 N BROADWAY,OLIVER,12,EASTERN,8/25/05,39.30794938,-76.59525616
0303 017,517 BAKER ST,DRUID HEIGHTS,7,CENTRAL,7/17/15,39.30922654,-76.63882416
4018 032,515 E 21ST ST,EAST BALTIMORE MIDWAY,12,EASTERN,10/23/12,39.31333233,-76.60897979
7779 023,2515 JAMES ST,MORRELL PARK,10,SOUTHWESTERN,12/9/14,39.26690651,-76.65332358
3205 044,2114 HERBERT ST,MONDAWMIN,7,WESTERN,3/30/07,39.31032999,-76.65208091
0095 061,1928 HARLEM AVE,MIDTOWN-EDMONDSON,9,WESTERN,10/21/11,39.29654386,-76.6484444
2361 039,2401 ARUNAH AVE,ROSEMONT HOMEOWNERS/TENANTS,9,WESTERN,11/26/14,39.29532877,-76.65496139
4544D029,3708 W BELVEDERE AVE,ARLINGTON,5,NORTHWESTERN,12/6/13,39.34632799,-76.68071161
1109 013,1721 N BOND ST,OLIVER,12,EASTERN,2/20/08,39.31000892,-76.59666641
4536A044,3337 AVONDALE AVE,PIMLICO GOOD NEIGHBORS,5,NORTHWESTERN,5/24/07,39.35167787,-76.67963551
0298 017,533 CUMBERLAND ST,DRUID HEIGHTS,7,CENTRAL,8/11/14,39.30940079,-76.64115386
2393 063,2705 WINCHESTER ST,WINCHESTER,9,SOUTHWESTERN,8/27/12,39.30122971,-76.66201065
0058 002,1902 MOSHER ST,MIDTOWN-EDMONDSON,9,WESTERN,8/11/11,39.30001176,-76.64777539
3234 015,2301 BRYANT AVE,PARKVIEW/WOODBROOK,7,WESTERN,10/17/05,39.31673351,-76.64842325
1530 012,1223 N GAY ST,BROADWAY EAST,12,EASTERN,12/22/14,39.30472562,-76.59306687
4578 018,3535 W BELVEDERE AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,3/14/12,39.34669919,-76.67892062
2275A059,159 N MONASTERY AVE,ALLENDALE,8,SOUTHWESTERN,7/10/14,39.28892513,-76.67489257
0095 002,702 N MONROE ST,MIDTOWN-EDMONDSON,9,WESTERN,10/22/07,39.2967724,-76.64765187
1143 036,1302 VALLEY ST,JOHNSTON SQUARE,12,EASTERN,5/15/13,39.3055219,-76.6053972
0392 037,829 N FREMONT AVE,UPTON,11,CENTRAL,10/12/07,39.29883103,-76.63398903
1468 083,1613 N CHAPEL ST,BROADWAY EAST,12,EASTERN,9/22/11,39.30923507,-76.59074967
4623 041,3015 WOODLAND AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,9/23/05,39.34613491,-76.66922089
1154 022,602 E BIDDLE ST,JOHNSTON SQUARE,12,EASTERN,6/21/07,39.30390455,-76.60906384
1485 004,2407 E FEDERAL ST,BROADWAY EAST,13,EASTERN,7/9/07,39.30868392,-76.58402663
0699 030,423 S PAYSON ST,CARROLLTON RIDGE,9,SOUTHERN,4/1/15,39.28244083,-76.64794662
0118 058,524 N PAYSON ST,MIDTOWN-EDMONDSON,9,WESTERN,6/17/97,39.29430105,-76.64925155
3312A023,2712 OSWEGO AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,10/12/12,39.33563623,-76.66448801
1554 059,2306 E CHASE ST,BIDDLE STREET,13,EASTERN,6/28/13,39.30379694,-76.58484332
2243B059,20 BENKERT AVE,SAINT JOSEPHS,8,SOUTHWESTERN,6/3/08,39.28562968,-76.67431076
0294 081,2430 N STOCKTON ST,PENN NORTH,7,WESTERN,4/5/13,39.30942469,-76.64279832
1677 050,453 N CURLEY ST,ELLWOOD PARK/MONUMENT,13,SOUTHEASTERN,4/2/08,39.29688677,-76.57560594
1517 069,2045 E HOFFMAN ST,BROADWAY EAST,13,EASTERN,9/24/07,39.3064604,-76.58886278
1448 066,1825 N WOLFE ST,BROADWAY EAST,12,EASTERN,7/20/12,39.31165081,-76.59144393
0239 036,220 FURROW ST,CARROLLTON RIDGE,9,SOUTHWESTERN,11/19/10,39.28418818,-76.65218399
0057 004,1006 N PAYSON ST,BRIDGEVIEW/GREENLAWN,9,WESTERN,4/21/10,39.29997333,-76.64959138
1605 004,807 N CHESTER ST,MIDDLE EAST,13,EASTERN,12/29/08,39.29991135,-76.58767895
6556 026,645 S LEHIGH ST,GREEKTOWN,1,SOUTHEASTERN,12/5/12,39.28510136,-76.55769819
0147 018,1935 W MULBERRY ST,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,10/24/13,39.29269125,-76.64820099
3347C007,2646 OSWEGO AVE,GREENSPRING,6,NORTHERN,9/16/09,39.33635641,-76.66218853
0123 018,1501 EDMONDSON AVE,HARLEM PARK,9,WESTERN,12/20/07,39.29512634,-76.64147736
0181 011,1521 W LEXINGTON ST,FRANKLIN SQUARE,9,WESTERN,11/26/07,39.29042712,-76.64188298
3058 040,3429 PIEDMONT AVE,HANLON-LONGWOOD,7,NORTHWESTERN,12/19/14,39.31594079,-76.67577726
4606 019,4701 BEAUFORT AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,8/30/07,39.34348558,-76.6735308
4602 052,3702 MANCHESTER AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,11/8/05,39.34317157,-76.67644953
0050 008,1114 N FULTON AVE,SANDTOWN-WINCHESTER,9,WESTERN,6/24/09,39.30130861,-76.64625724
1621 074,715 N DUNCAN ST,MIDDLE EAST,13,EASTERN,7/1/14,39.29925272,-76.58717561
1155 098,708 MURA ST,JOHNSTON SQUARE,12,EASTERN,7/12/12,39.30444265,-76.60750587
1369 030,1624 E LOMBARD ST,WASHINGTON HILL,12,SOUTHEASTERN,10/22/14,39.29060698,-76.5946433
2213B036,2638 LAURETTA AVE,ROSEMONT HOMEOWNERS/TENANTS,9,WESTERN,8/13/15,39.29404263,-76.66043648
2548 013,102 S AUGUSTA AVE,IRVINGTON,8,SOUTHWESTERN,11/4/11,39.28488072,-76.68520165
4114A021,2601 AISQUITH ST,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,5/19/09,39.31876309,-76.59653235
1486 026,2511 E FEDERAL ST,BEREA,13,EASTERN,10/4/13,39.30875319,-76.58209325
